"Nazwa cała","R","Ilość dostępna","Stan","j.m.","Cena zakupu netto","Cena sprzedaży netto","Zarezerwowano","Indeks katalogowy","Indeks handlowy","Kod kreskowy","PLU","Cena zakupu brutto","Nazwa krótka","Nazwa oryg.","Cena sprzedaży brutto","Stan min.","Stan max.","Waga","Wysokość","Szerokość","Głębokość","Lokalizacja","Dostawcy dostarczą","Odbiorcy odbiorą","Zamiennik","Vat zak.","Vat sprz.","PKWiU","Marża [%]","F","Producent","Nr artykułu","S","Zał.","Wyróżnik","A","Indeks producenta","Kod CN","Kraj pochodzenia","JPK Klasyfikacja"
"Pamięc SODIMM DDR5 8GB Kingston Fury Impact","Towar","0","0","szt.","147.23","3699.00","0","Spr000005","Spr000005"," ","0","181.09","Pamięc SODIMM DDR5 8GB Kingston Fury","Dell G15 5525 15,6""FHD/Ryzen 5 6600H/8GB/SSD512GB/RTX3050-4GB/W11","4549.77","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","96.02","0"," ","40","0","0"," ","0"," "," "," "," "
"Pamięć DDR3 GOODRAM 8GB/1333MHz","Towar","0","0","szt.","71.04","71.04","0","Spr000008","Spr000008"," ","0","87.38","Pamięć DDR3 GOODRAM 8GB/1333MHz","Pamięć DDR3 GOODRAM 8GB/1333MHz","87.38","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","46","0","0"," ","0"," "," "," "," "
"Pamięć DDR4 Silicon Power 16GB (1x16GB) 2666MHz","Towar","0","0","szt.","129.72","129.72","0","Spr000006","Spr000006"," ","0","159.56","Pamięć DDR4 Silicon Power 16GB (1x16GB)","Pamięć DDR4 Silicon Power 16GB (1x16GB) 2666MHz","159.56","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","44","0","0"," ","0"," "," "," "," "
"Pamięć DDR4 Silicon Power 8GB","Towar","0","0","szt.","64.13","129.72","0","Spr000028","Spr000028"," ","0","78.88","Pamięć DDR4 Silicon Power 8GB","Pamięć DDR4 Silicon Power 8GB","159.56","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","50.56","0"," ","81","0","0"," ","0"," "," "," "," "
"Pamięć SODIMM DDR4 Silicon Power 16GB (1x16GB)","Towar","0","0","szt.","140.85","140.85","0","Spr000007","Spr000007"," ","0","173.25","Pamięć SODIMM DDR4 Silicon Power 16GB","Pamięć SODIMM DDR4 Silicon Power 16GB (1x16GB)","173.25","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","45","0","0"," ","0"," "," "," "," "
"Pendrive GOODRAM 64GB UME2-SPRING","Towar","1","1","szt.","1.00","1.00","0","Spr000031","Spr000031"," ","0","1.23","Pendrive GOODRAM 64GB UME2-SPRING","Pendrive GOODRAM 64GB UME2-SPRING","1.23","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","84","0","0"," ","0"," "," "," "," "
"Pendrive GOODRAM UCU2 16GB USB 2.0","Towar","0","0","szt.","1.00","1.00","0","Spr000015","Spr000015"," ","0","1.23","Pendrive GOODRAM UCU2 16GB USB 2.0","Pendrive GOODRAM UCU2 16GB USB 2.0","1.23","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","56","0","0"," ","0"," "," "," "," "
"Pendrive Silicon Power Blaze B07 64GB USB 3.2","Towar","0","0","szt.","14.37","14.37","0","Spr000013","Spr000013"," ","0","17.68","Pendrive Silicon Power Blaze B07 64GB","Pendrive Silicon Power Blaze B07 64GB USB 3.2","17.68","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","54","0","0"," ","0"," "," "," "," "
"Podpis elektroniczny Certum Mini 1 rok","Towar","0","0","szt.","227.80","259.00","0","CER000007","CER000007"," ","0","280.19","Podpis elektroniczny Certum Mini 1 rok","Certum","318.57","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","12.05","0"," ","11","0","0"," ","0"," "," "," "," "
"Podpis elektroniczny Certum Mini 1 rok bez czytnika","Towar","0","0","szt.","186.15","219.00","0","CER000008","CER000008"," ","0","228.96","Podpis elektroniczny Certum Mini 1 rok","Certum","269.37","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","15.00","0"," ","12","0","0"," ","0"," "," "," "," "
"Podpis elektroniczny Certum Mini 2 lata","Towar","0","0","szt.","290.70","299.00","0","CER000009","CER000009"," ","0","357.56","Podpis elektroniczny Certum Mini 2 lata","Certum","367.77","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","2.78","0"," ","13","0","0"," ","0"," "," "," "," "
"Podpis elektroniczny Certum Mini 2 lata bez czytnika","Towar","0","0","szt.","220.15","259.00","0","CER000010","CER000010"," ","0","270.78","Podpis elektroniczny Certum Mini 2 lata","Certum","318.57","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","15.00","0"," ","14","0","0"," ","0"," "," "," "," "
"Podpis elektroniczny Certum Mini 3 lata","Towar","0","0","szt.","375.70","399.00","0","CER000011","CER000011"," ","0","462.11","Podpis elektroniczny Certum Mini 3 lata","Certum","490.77","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","5.84","0"," ","15","0","0"," ","0"," "," "," "," "
"Podpis elektroniczny Certum Mini 3 lata bez czytnika","Towar","0","0","szt.","288.15","339.00","0","CER000012","CER000012"," ","0","354.42","Podpis elektroniczny Certum Mini 3 lata","Certum","416.97","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","15.00","0"," ","16","0","0"," ","0"," "," "," "," "
"Podpis elektroniczny Certum Standard 1 rok","Towar","0","0","szt.","220.15","259.00","0","CER000013","CER000013"," ","0","270.78","Podpis elektroniczny Certum Standard 1","Certum","318.57","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","15.00","0"," ","5","0","0"," ","0"," "," "," "," "
"Podpis elektroniczny Certum Standard 1 rok bez czytnika","Towar","0","0","szt.","186.15","219.00","0","CER000014","CER000014"," ","0","228.96","Podpis elektroniczny Certum Standard 1","Certum","269.37","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","15.00","0"," ","6","0","0"," ","0"," "," "," "," "
"Podpis elektroniczny Certum Standard 2 lata","Towar","0","0","szt.","290.70","299.00","0","CER000015","CER000015"," ","0","357.56","Podpis elektroniczny Certum Standard 2","Certum","367.77","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","2.78","0"," ","7","0","0"," ","0"," "," "," "," "
"Podpis elektroniczny Certum Standard 2 lata bez czytnika","Towar","0","0","szt.","220.15","259.00","0","CER000016","CER000016"," ","0","270.78","Podpis elektroniczny Certum Standard 2","Certum","318.57","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","15.00","0"," ","8","0","0"," ","0"," "," "," "," "
"Podpis elektroniczny Certum Standard 3 lata","Towar","0","0","szt.","375.70","399.00","0","CER000017","CER000017"," ","0","462.11","Podpis elektroniczny Certum Standard 3","Certum","490.77","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","5.84","0"," ","9","0","0"," ","0"," "," "," "," "
"Podpis elektroniczny Certum Standard 3 lata bez czytnika","Towar","0","0","szt.","313.65","339.00","0","CER000018","CER000018"," ","0","385.79","Podpis elektroniczny Certum Standard 3","Certum","416.97","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","7.48","0"," ","10","0","0"," ","0"," "," "," "," "
"Podpis elektroniczny SimplySign 1 rok","Towar","0","0","szt.","254.15","299.00","0","CER000019","CER000019"," ","0","312.60","Podpis elektroniczny SimplySign 1 rok","Certum","367.77","0","0","0","0","0","0"," ","0","1"," ","23","23"," ","15.00","0"," ","17","0","0"," ","0"," "," "," "," "
"Podpis elektroniczny SimplySign 2 lata","Towar","0","0","szt.","330.65","389.00","0","CER000020","CER000020"," ","0","406.70","Podpis elektroniczny SimplySign 2 lata","Certum","478.47","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","15.00","0"," ","18","0","0"," ","0"," "," "," "," "
"Podpis elektroniczny SimplySign 3 lata","Towar","0","0","szt.","407.15","479.00","0","CER000021","CER000021"," ","0","500.79","Podpis elektroniczny SimplySign 3 lata","Certum","589.17","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","15.00","0"," ","19","0","0"," ","0"," "," "," "," "
"Potwierdzenie tożsamości","Usługa","0","0","szt.","0.00","100.00","0","CER000022","CER000022"," ","0","0.00","Potwierdzenie tożsamości","Potwierdzenie Tożsamości","123.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","100.00","0"," ","2","0","0"," ","0"," "," "," "," "
"Przedłużacz VGA LogiLink CV0004 VGA 2x Ferryt 1,8m","Towar","0","0","szt.","18.81","18.81","0","Spr000011","Spr000011"," ","0","23.14","Przedłużacz VGA LogiLink CV0004 VGA 2x","Przedłużacz VGA LogiLink CV0004 VGA 2x Ferryt 1,8m","23.14","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","52","0","0"," ","0"," "," "," "," "
"RICOH Print Cartridge GC 41K","Towar","0","0","szt.","115.00","230.45","0","Mat000008","Mat000008"," ","0","141.45","RICOH Print Cartridge GC 41K","RICOH Print Cartridge GC 41K","283.45","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","50.10","0"," ","93","0","0"," ","0"," "," "," "," "
"Rolka termiczna Qoltec 57x15 (10szt.)","Towar","4","4","szt.","11.08","189.00","0","Mat000006","Mat000006"," ","0","13.63","Rolka termiczna Qoltec 57x15 (10szt.)","Rolka termiczna Qoltec 57x15 (10szt.)","232.47","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","94.14","0"," ","78","0","0"," ","0"," "," "," "," "
"Router TP-Link ER605","Towar","0","0","szt.","226.50","226.50","0","Spr000023","Spr000023"," ","0","278.60","Router TP-Link ER605","Router TP-Link ER605","278.60","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","72","0","0"," ","0"," "," "," "," "
"Serwis oprogramowania","Usługa","0","0","szt.","0.00","0.00","0","KAT00020","HAN00020"," ","0","0.00","Serwis oprogramowania","Serwis oprogramowania","0.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","20","0","0"," ","0"," "," "," "," "
"SimplySign odnowienie 3 lata","Towar","0","0","szt.","254.15","479.00","0","CER000025","CER000025"," ","0","312.60","SimplySign odnowienie 3 lata","Certum","589.17","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","46.94","0"," ","58","0","0"," ","0"," "," "," "," "
"Sprężone powietrze INCORE 600 ml","Towar","0","0","szt.","8.96","8.96","0","Mat000004","Mat000004"," ","0","11.02","Sprężone powietrze INCORE 600 ml","Sprężone powietrze INCORE 600 ml","11.02","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","64","0","0"," ","0"," "," "," "," "
"Switch niezarządzalny Lanberg 16x 1Gb Gigabit","Towar","0","0","szt.","222.99","246.98","0","Spr000025","Spr000025"," ","0","274.28","Switch niezarządzalny Lanberg 16x 1Gb","Switch niezarządzalny Lanberg 16x 1Gb Gigabit","303.79","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","9.71","0"," ","74","0","0"," ","0"," "," "," "," "
"Switch TP-Link LS105G 5x100/1000","Towar","0","0","szt.","59.71","59.71","0","Spr000022","Spr000022"," ","0","73.44","Switch TP-Link LS105G 5x100/1000","Switch TP-Link LS105G 5x100/1000","73.44","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","71","0","0"," ","0"," "," "," "," "
"Switch TP-Link TL-SG1008P PoE","Towar","0","0","szt.","246.98","246.98","0","Spr000019","Spr000019"," ","0","303.79","Switch TP-Link TL-SG1008P PoE","Switch TP-Link TL-SG1008P","303.79","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","67","0","0"," ","0"," "," "," "," "
"Toner Brother TN-2320","Towar","0","0","szt.","230.45","230.45","0","Mat000005","Mat000005"," ","0","283.45","Toner Brother TN-2320","Toner Brother TN-2320","283.45","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","70","0","0"," ","0"," "," "," "," "
"Toner HP 87XC","Towar","0","0","szt.","835.00","230.45","0","Mat000010","Mat000010"," ","0","1027.05","Toner HP 87XC","Toner HP 87XC","283.45","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-262.33","0"," ","99","0","0"," ","0"," "," "," "," "
"Toner Incore Brother TN-2320","Towar","0","0","szt.","29.41","230.45","0","Mat000009","Mat000009"," ","0","36.17","Toner Incore Brother TN-2320","Toner Incore Brother TN-2320","283.45","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","87.24","0"," ","94","0","0"," ","0"," "," "," "," "
"Toner INCORE do Brother TN2421","Towar","0","0","szt.","31.45","31.45","0","Mat000003","Mat000003"," ","0","38.68","Toner INCORE do Brother TN2421","Toner INCORE do Brother TN2421","38.68","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","49","0","0"," ","0"," "," "," "," "
"Toner INCORE do Xerox 3020","Towar","0","0","szt.","47.02","31.45","0","Mat000007","Mat000007"," ","0","57.83","Toner INCORE do Xerox 3020","Toner INCORE do Xerox 3020","38.68","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-49.51","0"," ","80","0","0"," ","0"," "," "," "," "
"Torba do notebooka Natec Impala Black-Blue 15,6""","Towar","0","0","szt.","29.51","29.89","0","Spr000003","Spr000003"," ","0","36.30","Torba do notebooka Natec Impala","Torba do notebooka Natec Impala Black-Blue 15,6""","36.76","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","1.27","0"," ","33","0","0"," ","0"," "," "," "," "
"Tusz HP 953 Black XL","Towar","0","0","szt.","189.00","189.00","0","Mat000002","Mat000002"," ","0","232.47","Tusz HP 953 Black XL","Tusz HP 953 Black XL","232.47","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","48","0","0"," ","0"," "," "," "," "
"Tusz HP 953 Yellow XL","Towar","0","0","szt.","129.00","129.00","0","Mat000001","Mat000001"," ","0","158.67","Tusz HP 953 Yellow XL","Tusz HP 953 Yellow XL","158.67","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","47","0","0"," ","0"," "," "," "," "
"Urządzenie wielof. Brother DCP-T920DW","Towar","0","0","szt.","1449.00","3699.00","0","Spr000030","Spr000030"," ","0","1782.27","Urządzenie wielof. Brother DCP-T920DW","Urządzenie wielofunkcyjne Brother DCP-T920DW","4549.77","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","60.83","0"," ","83","0","0"," ","0"," "," "," "," "
"Usługa informatyczna","Usługa","0","0","szt.","0.00","0.00","0","KAT00001","HAN00001"," ","0","0.00","Usługa informatyczna","Usługa informatyczna","0.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","1","0","0"," ","0"," "," "," "," "
"Usługa księgowa","Usługa","0","0","szt.","500.00","0.00","0","POZK000007","POZK000007"," ","0","615.00","Usługa księgowa","Usługa księgowa","0.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","35","0","0"," ","0"," "," "," "," "
"Usługa transportowa","Usługa","0","0","szt.","17.50","0.00","0","POZK000003","POZK000003"," ","0","21.53","Usługa transportowa","Usługa informatyczna","0.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","21","0","0"," ","0"," "," "," "," "
"Usługi biurowe","Usługa","0","0","szt.","10000.00","0.00","0","KAT00030","HAN00030"," ","0","12300.00","Usługi biurowe","Usługi biurowe","0.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","43","0","0"," ","0"," "," "," "," "
"Usługi najmu i dzierżawy","Usługa","0","0","szt.","3000.00","0.00","0","POZK000008","POZK000008"," ","0","3690.00","Usługi najmu i dzierżawy","Usługi najmu i dzierżawy","0.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","36","0","0"," ","0"," "," "," "," "
"Usługi telekomunikacyjne","Usługa","0","0","szt.","250.00","0.00","0","POZK000002","POZK000002"," ","0","307.50","Usługi telekomunikacyjne","Usługi telekomunikacyjne","0.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","25","0","0"," ","0"," "," "," "," "
"WAPRO BEST 365 BIURO 100 PRZEDŁUŻENIE","Towar","0","0","szt.","289.17","299.50","0","WAPRO005","WAPRO005"," ","0","355.68","WAPRO BEST 365 BIURO 100 PRZEDŁUŻENIE","WAPRO BEST 365 BIURO 100 PRZEDŁUŻENIE","368.39","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","3.45","0","ASSECO BUSINESS SOLUTIONS SPÓŁKA AKCYJNA","100","0","0"," ","0"," "," ","PL"," "
"WAPRO BEST 365 BIZNES 100","Towar","0","0","szt.","299.50","299.50","0","WAPRO001","WAPRO001"," ","0","368.39","WAPRO BEST 365 BIZNES 100","WAPRO BEST 365 BIZNES 100","368.39","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0","ASSECO BUSINESS SOLUTIONS SPÓŁKA AKCYJNA","89","0","0"," ","0"," "," ","PL"," "
"WAPRO GANG 365 BIURO 200","Towar","0","0","szt.","200.88","386.30","0","WAPRO008","WAPRO008"," ","0","247.08","WAPRO GANG 365 BIURO 200","WAPRO GANG 365 BIURO 200","475.15","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","48.00","0"," ","103","0","0"," ","0"," "," "," "," "
"WAPRO MAG 365 BIZNES PRZEDŁUŻENIE","Towar","0","0","szt.","194.35","179.00","0","WAPRO009","WAPRO009"," ","0","239.05","WAPRO MAG 365 BIZNES PRZEDŁUŻENIE","WAPRO MAG 365 BIZNES PRZEDŁUŻENIE","220.17","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-8.58","0","ASSECO BUSINESS SOLUTIONS SPÓŁKA AKCYJNA","111","0","0"," ","0"," "," ","PL"," "
"WAPRO MAG 365 BIZNES STANOWISKO PRZEDŁUŻENIE","Towar","0","0","szt.","194.35","179.00","0","WAPRO010","WAPRO010"," ","0","239.05","WAPRO MAG 365 BIZNES STANOWISKO","WAPRO MAG 365 BIZNES STANOWISKO PRZEDŁUŻENIE","220.17","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","-8.58","0","ASSECO BUSINESS SOLUTIONS SPÓŁKA AKCYJNA","112","0","0"," ","0"," "," ","PL"," "
"WAPRO MAG 365 START","Towar","0","0","szt.","99.50","199.00","0","WAPRO002","WAPRO002"," ","0","122.39","WAPRO MAG 365 START","WAPRO MAG 365 START","244.77","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","50.00","0","ASSECO BUSINESS SOLUTIONS SPÓŁKA AKCYJNA","90","0","0"," ","0"," "," ","PL"," "
"WAPRO MAG 365 START PRZEDŁUŻENIE","Towar","0","0","szt.","116.35","179.00","0","WAPRO003","WAPRO003"," ","0","143.11","WAPRO MAG 365 START PRZEDŁUŻENIE","WAPRO MAG 365 START PRZEDŁUŻENIE","220.17","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","35.00","0","ASSECO BUSINESS SOLUTIONS SPÓŁKA AKCYJNA","91","0","0"," ","0"," "," ","PL"," "
"Windows 11 Pro","Towar","0","0","szt.","559.00","559.00","0","OPROGR00004","OPROGR00004"," ","0","687.57","Windows 11 Pro","Windows 11 Pro","687.57","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","63","0","0"," ","0"," "," "," "," "
"Zasilacz SilentiumPC Elementum E2 SI 450W","Towar","1","1","szt.","144.76","144.76","0","Spr000021","Spr000021"," ","0","178.05","Zasilacz SilentiumPC Elementum E2 SI","Zasilacz SilentiumPC Elementum E2 SI 450W","178.05","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","69","0","0"," ","0"," "," "," "," "
"Zużycie energii","Usługa","0","0","szt.","0.00","0.00","0","POZK000009","POZK000009"," ","0","0.00","Zużycie energii","Zużycie energii","0.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","37","0","0"," ","0"," "," "," "," "
"Zużycie materiałów","Usługa","0","0","szt.","1.00","0.00","0","POZK000001","POZK000001"," ","0","1.23","Zużycie materiałów","Zużycie materiałów","0.00","0","0","0","0","0","0"," ","0","0"," ","23","23"," ","0.00","0"," ","28","0","0"," ","0"," "," "," "," "
